carpeta,archivo,ruta,anio,tipo_acto,subtipo,vigente_ccyc,variables_detectadas,calidad_preset,observaciones,usar_como_preset
ACREDITA PERSONERIA JURIDICA,modelo_FRIMONT-2.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACREDITA PERSONERIA JURIDICA\modelo_FRIMONT-2.docx,sin_fecha,Certificación de existencia y vigencia de persona jurídica,"Para trámite ante Secretaría de Industria, Comercio y PYME",False,"nombre_escribano, numero_registro_notarial, fecha_documento, nombre_compareciente, dni_compareciente, cuit_compareciente, fecha_nacimiento_compareciente, domicilio_compareciente, cargo_compareciente, denominacion_sociedad, domicilio_legal_sociedad, numero_escritura_transformacion, fecha_transformacion, numero_escritura_constitucion, fecha_constitucion, numero_acta_asamblea, fecha_asamblea, cargo_designado",baja,"Documento de 2007, redactado bajo Código Civil de Vélez (referencias arts. 1.002). Requiere actualización integral a términos del CCyC 2015 (capacidad, representación, sociedades) y modernización de estructura acorde a resoluciones vigentes.",no
ACTA DE COMPROBACION,ACTA COMPROBACIÓN DE MENSAJE DE TEXTO EN EL TELEFONO DEL REQUIRENTE (DIC. 2014).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTA DE COMPROBACION\ACTA COMPROBACIÓN DE MENSAJE DE TEXTO EN EL TELEFONO DEL REQUIRENTE (DIC. 2014).docx,sin_fecha,Acta de comprobación,Certificación de contenido de mensajes de texto en dispositivo móvil,False,"nombre_notario, numero_registro_notarial, fecha_acta, nombre_compareciente, dni_compareciente, cuit_compareciente, domicilio_compareciente, nombre_auxiliar, nombre_tercero_involucrado, numero_telefonico_origen, numero_telefonico_exhibido, marca_dispositivo, proveedor_servicio, horario_comprobacion, contenido_mensajes",baja,El documento utiliza referencias al Código Civil de Vélez (art. 1.002) en lugar del CCyC 2015. Requiere revisión normativa urgente sobre competencia notarial para certificar contenido digital y consentimiento de todas las partes involucradas; la metodología de comprobación carece de garantías de integridad técnica y cadena de custodia.,no
ACTA DE CONSTATACION,2020 - ACTA DE NOTIFICACION - RIO VIEJO SA (PARA ENVIAR A SAN LUIS) JULIO 2020 (TESTIMONIO).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTA DE CONSTATACION\2020 - ACTA DE NOTIFICACION - RIO VIEJO SA (PARA ENVIAR A SAN LUIS) JULIO 2020 (TESTIMONIO).docx,2020,Acta de Requerimiento,Acreditación de representación de persona jurídica,True,"número_escritura, fecha_día, fecha_mes, fecha_año, nombre_notario, número_registro_notarial, nombre_persona_física, nacionalidad, dni, cuit_persona, fecha_nacimiento, estado_civil, domicilio_calle, domicilio_número, domicilio_distrito, domicilio_departamento, provincia, razón_social_empresa, cuit_empresa, domicilio_empresa_calle, domicilio_empresa_número, domicilio_empresa_piso, domicilio_empresa_oficina, cargo_representante, número_escritura_constitución, fecha_constitución, número_acta_subsanación, fecha_subsanación, notario_anterior, protocolo_anterior, resolución_dpj, fecha_resolución_dpj, número_sociedad_dpj, número_rpc, fecha_asamblea, fojas_asamblea, número_libro_actas, fecha_acta_directorio, fojas_directorio",media,"Documento incompleto al final. Incluye referencias al DNU 297/20 sobre COVID-19 que es histórico; actualizar según contexto actual. Referencias correctas al CCyC 2015 (arts. 306, 23, 44, 45).",si
ACTAS CIERRE DE PROTOCOLOS,NOTA ACOMPAÑA ACTAS DE CIERRE DEL PROTOCOLO 2019.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS CIERRE DE PROTOCOLOS\NOTA ACOMPAÑA ACTAS DE CIERRE DEL PROTOCOLO 2019.docx,sin_fecha,Acta de cierre de protocolo notarial,Protocolos General y Auxiliar - año 2019,True,"nombre_notario, numero_registro, domicilio_notario, calle_numero, ciudad, fecha_documento, año_fiscal",media,Documento administrativo de carácter obligatorio. Requiere validación de estructura formal del acta adjunta y verificación de cumplimiento de requisitos de cierre según normativa notarial provincial mendocina.,si
ACTAS COMPLEMENTARIAS,2019-ACTA COMPLEMENTARIA - SINCERAMIENTO - BERTOLDO - STONE (FEB. 2019).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS COMPLEMENTARIAS\2019-ACTA COMPLEMENTARIA - SINCERAMIENTO - BERTOLDO - STONE (FEB. 2019).docx,2018,Acta Complementaria de Transmisión de Dominio,Sinceramiento Fiscal - Ley 27.260 (Fideicomiso),True,"nombre_fiduciario, dni_fiduciario, cuit_fiduciario, fecha_nacimiento_fiduciario, estado_civil_fiduciario, domicilio_fiduciario, nombre_adquirente_1, dni_adquirente_1, cuit_adquirente_1, fecha_nacimiento_adquirente_1, nombre_adquirente_2, dni_adquirente_2, cuit_adquirente_2, fecha_nacimiento_adquirente_2, domicilio_adquirentes, numero_escritura_original, fecha_escritura_original, numero_registro_notarial, numero_protocolo, numero_fojas, nombre_notario, fecha_acta, numero_fideicomiso, numero_escritura_fideicomiso, fecha_escritura_fideicomiso",media,"Documento incompleto (truncado al final), pero utiliza lenguaje y referencias del CCyC 2015 (art. 306). Requiere completarse la parte final del acta y verificar que contenga la cláusula dispositiva completa sobre la transmisión de dominio.",si
ACTAS DE MANIFESTACION,2021 - ACTA DE MANIFESTACION - VINCI (JULIO 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS DE MANIFESTACION\2021 - ACTA DE MANIFESTACION - VINCI (JULIO 2021).docx,2020,Acta de Manifestación - Renuncia de derechos hereditarios,Renuncia a derechos derivados de reconocimiento de anticipo de herencia,True,"nombre_compareciente_1, dni_compareciente_1, cuit_compareciente_1, fecha_nacimiento_1, domicilio_1, nombre_compareciente_2, dni_compareciente_2, cuit_compareciente_2, fecha_nacimiento_2, domicilio_2, numero_escritura_anterior, fecha_escritura_anterior, nombre_otorgante_anterior, descripcion_inmueble, ubicacion_inmueble, provincia_inmueble, numero_notario, nombre_notario, fecha_acta, protocolo_numero",media,Documento incompleto: falta la conclusión de la cláusula II y posible falta de firmas. Verificar que conste la aceptación de la renuncia conforme arts. 2281 y ss. CCyC.,si
ACTAS DE NOTIFICACION,2021 - ACTA DE NOTIFICACION - SAUDA S.R.L. (SEPT. 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS DE NOTIFICACION\2021 - ACTA DE NOTIFICACION - SAUDA S.R.L. (SEPT. 2021).docx,2021,Acta de Notificación,Notificación de incumplimiento contractual en contexto de subasta fiduciaria,True,"nombre_notario, registro_notarial, fecha_acta, nombre_compareciente, dni_compareciente, cuit_compareciente, fecha_nacimiento, estado_familia, profesion, domicilio_legal, nombre_representada, cuit_representada, domicilio_representada, fecha_contrato_social, fechas_modificaciones, fojas_legajo, numero_legajo, numero_poder, fecha_poder, notario_poder, registro_notarial_poder, fojas_registro_mandatos, tomo_registro, nombre_notificado, domicilio_notificado, fecha_subasta, monto_subasta, descripcion_bienes",media,"El documento está incompleto (se corta en la narración de hechos). Contiene referencias válidas al CCyC 2015 (art. 306, 23, 44, 45) pero requiere completar la descripción de los bienes y el texto de la notificación antes de usarse como preset.",si
ACTAS DE REQUERIMIENTO,2020 - ACTA DE NOTIFICACION - RIO VIEJO SA (FRIMA ETCHEPARE) 31 JULIO 2020.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS DE REQUERIMIENTO\2020 - ACTA DE NOTIFICACION - RIO VIEJO SA (FRIMA ETCHEPARE) 31 JULIO 2020.docx,2020,Acta de Requerimiento,Actuación en representación de sociedad anónima,True,"nombre_notario, numero_registro_notarial, fecha_acto, nombre_compareciente, dni_compareciente, cuit_compareciente, fecha_nacimiento, estado_civil, domicilio_compareciente, nombre_sociedad, cuit_sociedad, domicilio_social, numero_escritura_constitucion, fecha_escritura_constitucion, notario_constitucion, numero_resolucion_dpj, numero_sociedad_dpj, numero_rpc, numero_escritura_poder, fecha_escritura_poder",media,"Documento incompleto (se corta en el apartado de expresiones). Requiere revisión de redacción en la sección de identidad (repetición de 'justifica'), y completar el cuerpo del acta con las manifestaciones y petitorio final.",si
ACTAS DE SUBSANACION,TRIZ Bureau-Acta de Subsanacion Estatuto Socia(SARALEGUI) ABRIL 2011.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS DE SUBSANACION\TRIZ Bureau-Acta de Subsanacion Estatuto Socia(SARALEGUI) ABRIL 2011.docx,sin_fecha,Acta de Subsanación de Sociedad Anónima,Aumento de capital social,False,"nombre_notario, numero_registro_notarial, fecha_acto, nombre_compareciente_1, dni_compareciente_1, cuit_compareciente_1, edad_compareciente_1, domicilio_compareciente_1, nombre_compareciente_2, dni_compareciente_2, cuit_compareciente_2, edad_compareciente_2, domicilio_compareciente_2, nombre_compareciente_3, dni_compareciente_3, cuit_compareciente_3, edad_compareciente_3, domicilio_compareciente_3, nombre_entidad, numero_expediente, monto_capital_social, cantidad_acciones, valor_nominal_accion, votos_por_accion, acciones_compareciente_1, monto_suscripcion_compareciente_1, acciones_compareciente_2, monto_suscripcion_compareciente_2, acciones_compareciente_3, monto_suscripcion_compareciente_3, porcentaje_integrado, monto_integrado, plazo_integracion, numero_escritura",baja,"El documento utiliza referencias al Código Civil de Vélez (art. 1.002) y Ley 19.550, sin aplicar el lenguaje del CCyC 2015. Además, el documento está incompleto (corte abrupto en la última línea con 'respectivame'), requiere revisión integral y actualización normativa.",no
ACTAS RECTIFICATORIAS,ACTA RECTIFICACION TORNESI.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS RECTIFICATORIAS\ACTA RECTIFICACION TORNESI.docx,sin_fecha,Acta de Rectificación,de error en estado civil en escritura de rescisión de venta,False,"nombre_propietario_original, nombre_beneficiario, numero_escritura_original, fecha_escritura_original, folio_protocolo, numero_registro_notarial, nombre_notario, fecha_acta, estado_civil_correcto, nombre_conyuge, matricula_inmueble, asiento_folio_real, error_consignado",baja,Documento de 2005 con lenguaje y estructuras previas al CCyC 2015; contiene referencias a Folio Real (sistema mendocino derogado) y redacción antigua. Requiere adaptación completa al actual CCyC y sistema de registración vigente.,no
ACTAS VARIAS,GUARDA HABITUAL DE RUTH PACHECO (guarda habitual) 2014.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACTAS VARIAS\GUARDA HABITUAL DE RUTH PACHECO (guarda habitual) 2014.docx,sin_fecha,Declaración Jurada de Domicilio de Guarda Habitual,para vehículo automotor,False,"nombre_compareciente, dni_compareciente, estado_civil, domicilio_real_legal, fecha_nacimiento, marca_vehiculo, tipo_vehiculo, modelo_vehiculo, numero_motor, numero_chasis, dominio_vehiculo, domicilio_guarda_habitual, provincia_guarda_habitual, fecha_acta, nombre_notario, numero_registro_notarial",baja,"Documento redactado bajo Código Civil de Vélez (referencias al art. 1.002), no adaptado al CCyC 2015. Requiere actualización de terminología, estructura de cláusulas y referencias normativas antes de ser utilizado como modelo estándar.",no
ALBARRACIN  - ANTONACCI (2018),2018 - VENTA POR TRACTO - GUTIERREZ - ALBARRACIN (AGOSTO 2018).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ALBARRACIN  - ANTONACCI (2018)\2018 - VENTA POR TRACTO - GUTIERREZ - ALBARRACIN (AGOSTO 2018).docx,sin_fecha,Compraventa de inmueble,de propiedad inmueble urbana con intervención de fiduciario y apoderado,True,"nombres_vendedores, dni_vendedores, cuit_vendedores, fechas_nacimiento_vendedores, estado_civil_vendedores, domicilios_vendedores, nombre_comprador, dni_comprador, cuit_comprador, fecha_nacimiento_comprador, domicilio_comprador, nombre_apoderado, dni_apoderado, cuit_apoderado, fecha_nacimiento_apoderado, domicilio_apoderado, representado_nombre, representado_dni, representado_cuit, representado_fecha_nacimiento, representado_estado_civil, representado_domicilio, numero_poder, fecha_poder, escribana_poder, registro_notarial_poder, numero_escritura, fecha_otorgamiento, notario, registro_notarial_presente, nombre_fideicomiso, descripcion_inmueble, precio_venta, forma_pago",media,"El documento está incompleto (termina abruptamente en 'I.- b'), falta especificar el inmueble, precio, forma de pago y cláusulas esenciales de la compraventa. Requiere revisión de domicilios inconsistentes entre comparecientes (dos domicilios diferentes para la misma persona).",si
ANTICIPO DE HERENCIA,2017 - ANTICIPO DE HERENCIA CON RESERVA DE USUFRUCTO - ZANETTI.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ANTICIPO DE HERENCIA\2017 - ANTICIPO DE HERENCIA CON RESERVA DE USUFRUCTO - ZANETTI.docx,2022,Anticipo de herencia,Con reserva de usufructo y desafectación de régimen de protección de vivienda,True,"número_escritura, fecha_día, fecha_mes, fecha_año, nombre_notario, número_registro_notarial, nombre_escribano_titular, nombre_otorgante_1, dni_otorgante_1, cuit_otorgante_1, fecha_nacimiento_otorgante_1, nombre_otorgante_2, dni_otorgante_2, cuit_otorgante_2, fecha_nacimiento_otorgante_2, domicilio_otorgantes, nombre_beneficiario_1, dni_beneficiario_1, cuit_beneficiario_1, fecha_nacimiento_beneficiario_1, domicilio_beneficiario_1, nombre_beneficiario_2, dni_beneficiario_2, cuit_beneficiario_2, fecha_nacimiento_beneficiario_2, domicilio_beneficiario_2, nombre_beneficiario_3, dni_beneficiario_3, cuit_beneficiario_3, fecha_nacimiento_beneficiario_3, domicilio_beneficiario_3, descripción_bien_inmueble, porcentaje_anticipo",media,"El documento está incompleto (se corta en la parte dispositiva) y contiene errores tipográficos (""manfiestan"", ""1.99"" en fecha de nacimiento, espacios inconsistentes en domicilio otorgantes). Requiere completarse la cláusula dispositiva, especificar el inmueble transferido, porcentajes de herencia y detalles del usufructo reservado conforme CCyC arts. 2265-2269.",si
APORTE DE CAPITAL,APORTE CAPITAL PETRA-DOMINGUEZ.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\APORTE DE CAPITAL\APORTE CAPITAL PETRA-DOMINGUEZ.docx,sin_fecha,Aporte de capital a sociedad anónima,Transferencia de inmueble con edificio,False,"nombre_aportante, dni_aportante, cuit_aportante, domicilio_aportante, nombre_sociedad, cuit_sociedad, domicilio_sociedad, cargo_representante, numero_escritura_constitucion, fecha_constitucion, numero_escritura_subsanacion, fecha_subsanacion, descripcion_inmueble, superficie_titulo, superficie_catastro, ubicacion_inmueble, limites_perimetrales, numero_catastro, fecha_mensura",baja,"Documento de 2008 redactado bajo Código de Vélez. Requiere actualización integral a lenguaje y estructura del CCyC 2015 (capacidad, representación, obligaciones, derechos reales). Falta completar identificación de comparecientes y formalización final del acto.",no
ASENTIMIENTO CONYUGAL,CONSENTIMIENTO CONYUGAL-CHARIF.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ASENTIMIENTO CONYUGAL\CONSENTIMIENTO CONYUGAL-CHARIF.docx,sin_fecha,Consentimiento conyugal,para compraventa de inmueble,False,"nombre_cónyuge_consintiente, dni_cónyuge_consintiente, nombre_cónyuge_obligado, dni_cónyuge_obligado, nombre_tercero_comprador, dni_tercero_comprador, ubicación_inmueble, número_calle, superficie_inmueble, matrícula_propiedad, folio_real, precio_venta, forma_pago, fecha, provincia",baja,"Documento redactado bajo Código de Vélez (art. 1.277), no utiliza lenguaje del CCyC 2015. Requiere actualización normativa completa: el CCyC elimina la figura del consentimiento conyugal previo y regula derechos en el régimen patrimonial matrimonial (arts. 446-475).",no
AUTORIZACION PARA CONDUCIR,2021 - AUTORIZACION PARA CONDUCIR AGLE -  ABRAHAM MATIAS Y OTROS - DOMINIO AC407OJ.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\AUTORIZACION PARA CONDUCIR\2021 - AUTORIZACION PARA CONDUCIR AGLE -  ABRAHAM MATIAS Y OTROS - DOMINIO AC407OJ.docx,2017,Autorización para conducir vehículos,Otorgada por sociedad anónima a favor de apoderado,True,"nombre_otorgante, razon_social_sociedad, cuit_sociedad, domicilio_sociedad, nombre_representante, dni_representante, fecha_nacimiento_representante, estado_civil_representante, domicilio_representante, nombre_apoderado, dni_apoderado, fecha_acta_asamblea, fecha_acta_directorio, numero_escritura_estatuto, fecha_escritura_estatuto, numero_registro_notarial, ciudad, provincia, fecha_otorgamiento",media,"Documento incompleto (corte en párrafo final). Verificar que la autorización detalle expresamente los vehículos a conducir y si incluye límites de circulación. Actualizar fechas de actas si corresponde (hay inconsistencia: 20/04/2012, 3/10/2012 y 13/08/2012).",si
AUTORIZACION PARA TRAMITES ADMINISTRATIVOS,AUTORIZACION.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\AUTORIZACION PARA TRAMITES ADMINISTRATIVOS\AUTORIZACION.docx,sin_fecha,Poder,Poder especial para trámites administrativos,False,"nombre_notario, numero_registro_notarial, fecha_acto, nombre_compareciente, dni_compareciente, domicilio_compareciente, entidad_representada, cargo_compareciente, domicilio_entidad, numero_escritura_constitucion, fecha_escritura_constitucion, nombre_escribana, numero_inscripcion_sociedades, nombre_apoderado, dni_apoderado, domicilio_apoderado, reparticiones_enumeras",media,"Documento de 2005 con lenguaje del Código de Vélez; requiere actualización a terminología CCyC 2015 (ejemplo: sustituir 'apoderado' por 'mandatario', adecuar formas de otorgamiento). Referencias a documentación de constitución societaria correctamente identificadas pero necesita verificación de vigencia de la entidad.",no
